wallet_id,wallet_address,wallet_type,primary_chain,country,risk_level,first_seen_date,is_kyc_verified,label
240,0x60329313c7828c2720a801492c7f814d4a1d514f,exchange,ethereum,AE,medium,2023-02-05,1,
241,0xfeded6f2061a983ff703b53f7dc14555df888f39,defi_protocol,polygon,JP,high,2023-06-20,1,
242,0x822bb2c2d4e46b712546b67935c757c76db8047d,contract,arbitrum,SG,low,2023-01-02,1,whale
243,0x373a2e4af5b262bdf20645c2e93ffaf7de414edb,exchange,polygon,CA,high,2023-08-28,1,vip_user
244,0xb49efad67c00c5fe076e9689b3cf6f438d2b802f,multisig,ethereum,US,low,2023-04-25,0,whale
245,0x5d3a13da3959cc0eae986ee37df394770d2d5df0,defi_protocol,optimism,BR,high,2023-06-01,0,whale
246,0x5d2c0224f397c3e835347aa487c77b84b809637d,multisig,optimism,US,medium,2023-08-07,1,whale
247,0x3200dcb615cca3bc74cafefcaa6d2d75d8b02586,contract,solana,JP,medium,2023-07-13,1,
248,0x5dc324861b5ccc15ba436ad06039e63c48f8e1e3,exchange,ethereum,JP,medium,2023-11-15,1,team_wallet
249,0xa37139d01f613b5e89ca4e9738e1336e93c62896,multisig,binance_smart_chain,DE,high,2023-01-05,1,investor
250,0x0aeb61f46572febc57a625269d0719f6f3d4399d,multisig,polygon,CA,low,2023-05-03,1,vip_user
251,0x294c79cc0ecb0fd474f8273abe4e909e4f39700a,multisig,polygon,AE,medium,2023-05-15,1,whale
252,0xb35dc72b8d09845533001c6ee9d08e87c02372b3,multisig,polygon,CA,medium,2023-01-28,1,investor
253,0x78807495d14a6340ee0a2839b667ce283ff6df07,eoa,solana,AU,low,2023-02-08,1,whale
254,0x7cc9bec23913707e1fe9952af055a78496f91536,contract,arbitrum,IN,low,2023-11-25,1,
255,0x3967e05c9f3bdc0c3719cb5b612b3247b45cebb9,multisig,solana,FR,low,2023-12-28,1,vip_user
256,0x32ade5784b28616c7b3204ca60541c6b3fee273a,defi_protocol,ethereum,AE,medium,2023-10-24,1,
257,0xa084cfad9196ee8640d1eaefd95a5ffc240515bb,eoa,arbitrum,DE,low,2023-06-27,1,investor
258,0x4127cf1c1aea855f0ee1d8ca8519f7f584e468d0,exchange,ethereum,FR,low,2023-06-26,0,
259,0xdb56a30543b50205a24e1f8742baadc331c035a8,multisig,ethereum,US,medium,2023-02-27,0,
260,0xacb8b32914ac769ad67fa58ce008cdcc7ef8cef1,contract,solana,SG,low,2023-09-01,1,team_wallet
261,0x1e4cf1f7c21766958eb9be263f7e2e005a5c4107,contract,optimism,IN,medium,2023-10-16,1,investor
262,0x956af691468f5cff6947c2c1ba0dc82195e3dd90,eoa,arbitrum,JP,medium,2023-04-25,1,vip_user
263,0xc7ce2f6ab98c028d657bf8135aac55412bd59fc9,contract,ethereum,US,medium,2023-06-03,1,
264,0x25b5a9480dae6bf1436d992a139900d8d48d93f2,multisig,optimism,FR,low,2023-05-21,1,
265,0x64852b5acc225bdced2766a154210611bf15359c,contract,arbitrum,IN,high,2023-06-08,1,investor
266,0x35e154540a68cff3181dc551f51214f6cdde3c3e,exchange,solana,FR,low,2023-05-16,1,whale
267,0xb082c399219d0a2a3564b06680ec34b4846dbd92,defi_protocol,solana,IN,low,2023-10-07,1,vip_user
268,0x9ec89d8738b5170e5cc2f656b7e5aeec639e5204,exchange,ethereum,AU,low,2023-07-28,0,
269,0x1064358e1c9eb8f39e4bfd4cffd8d9ab8c6b94a8,exchange,polygon,CA,medium,2023-04-22,0,team_wallet
270,0x99bd0a679c9e285eb5fa96b4788868c5ba6ec8fb,multisig,binance_smart_chain,CA,low,2023-12-12,1,
271,0xd745f44984a3f13489072383c2ffdab03098394a,defi_protocol,binance_smart_chain,FR,medium,2023-10-17,1,whale
272,0xaece64c0084f0d78a621d3045d9a555fe2a34599,contract,arbitrum,AU,low,2023-02-20,1,whale
273,0x9f0892b533455d3c0925fd2ffc599d3b76410c14,exchange,optimism,KR,medium,2023-12-15,0,
274,0xdb443cc73fbbafa0be16826cbdce4f385729a2a2,contract,solana,UK,medium,2023-09-25,1,vip_user
275,0x49182e1c7f94e815d8b52c2777c40554d2627e80,multisig,polygon,US,high,2023-04-23,1,whale
276,0xa2e4c8289c901d3b46a689a8deb9145b82ba9920,defi_protocol,solana,JP,medium,2023-10-17,1,team_wallet
277,0x4e0c6e5a282c7298fb99548f8a3d128818c50abf,exchange,binance_smart_chain,JP,low,2023-03-01,0,vip_user
278,0xae5193c976d2f503800ba58475e69591d3f60eff,multisig,solana,SG,low,2023-05-06,0,team_wallet
279,0x2918e2252614a529eafafd215b7753dd8f32a673,eoa,binance_smart_chain,DE,medium,2023-03-04,0,whale
280,0xb55c4ec83524255e8ca9d1c5a5425835ea217f43,contract,optimism,UK,medium,2023-02-05,0,team_wallet
281,0x15f4ebe88dc474f1307cd4c81597fc528bf43bd4,defi_protocol,solana,KR,medium,2023-09-26,0,whale
282,0xb5ec786bb3740ba289f79cb47776452be255bf12,exchange,polygon,UK,low,2023-08-25,1,
283,0xc55909fa87456915c5c691435d7abdc7fabbdb2c,contract,solana,AE,medium,2023-11-24,1,vip_user
284,0xb2ccc009eea1bc39cea93b071415707deff489fa,defi_protocol,binance_smart_chain,AU,low,2023-01-09,1,
285,0xf7e63f0c3ab18eb15b654cf61cf2a84bc98e56b2,eoa,optimism,IN,high,2023-03-13,1,
286,0x1e8592a38971b095479495b4eb0176a85aa1fefc,defi_protocol,solana,IN,low,2023-09-07,0,
287,0xb9fd49af1b214ddadcb2dcf4f9ac2104443cacf1,contract,ethereum,FR,medium,2023-04-05,1,investor
288,0x1f37b485eba236b6cc23273cc3c810ad3e43991d,defi_protocol,solana,US,medium,2023-09-09,1,whale
289,0x0e0810b7e9d8404c396812f9dc3bf830330edbb8,exchange,optimism,DE,medium,2023-03-28,1,team_wallet
290,0x6317a815a1a2ec6245bc999c7606020f722fa435,eoa,optimism,AU,high,2023-09-26,1,investor
291,0xd3141e5243e1bc30207e0f2686ef0dd839a9acf9,exchange,solana,KR,medium,2023-09-10,1,team_wallet
292,0x25db8e2f2d4521a510d4c333f22958f505029d57,eoa,binance_smart_chain,KR,low,2023-12-01,1,
293,0xfcf783db2a2ffc172be0553df106568b3c6615b0,eoa,ethereum,AU,low,2023-07-28,0,investor
294,0x02db371d97bb6e97be011d2d299f1b7331e47355,eoa,ethereum,UK,low,2023-08-20,1,vip_user
295,0x2ce2e65ef75ab3ee82ba655d2edbe1abec582477,multisig,solana,CA,medium,2023-05-22,0,whale
296,0x98c4115d1e969285970c9f6d8f0956fa728c7ff5,eoa,ethereum,US,medium,2023-05-22,0,team_wallet
297,0x710bf4d1b04157e08603dd8f9afb55d94478bcd0,eoa,optimism,AU,high,2023-10-27,1,
298,0xb871c1a09a95c01da6f47ea3a4405bd1f643f439,defi_protocol,optimism,KR,medium,2023-02-08,0,team_wallet
299,0xe6626296c683868517a2c05ce1bc908fdf4d6a50,defi_protocol,solana,JP,low,2023-08-04,1,
300,0xa5707d255702818f59708bd50e9a09410d015c29,eoa,solana,UK,medium,2023-10-13,1,investor
